Target,Source,RFd,Offset
V1L4E,LGN,10,0
V1L4E,V1L4I,11,-5
V1L4I,LGN,10,0
V1L4I,V1L4E,11,-5
V1L4I,V1L23E,7,-6
V1L4I,V1L4I,11,-5
V1L23E,V1L4E,7,0
V1L23E,V2L23E,8,-7
V1L23E,V1L4I,7,0
V1L23E,V1L23I,9,-4
V1L23I,V1L4E,7,0
V1L23I,V1L23E,9,-4
V1L23I,V2L23E,8,-7
V1L23I,V1L4I,7,0
V1L23I,V1L23I,9,-4
V2L4E,V1L23E,5,0
V2L4E,V2L4I,7,-3
V2L4I,V1L23E,5,0
V2L4I,V2L4E,7,-3
V2L4I,V2L23E,4,-3
V2L4I,V2L4I,7,-3
V2L23E,V2L4E,4,0
V2L23E,V2L4I,4,0
V2L23E,V2L23I,5,-2
V2L23I,V2L4E,4,0
V2L23I,V2L23E,5,-2
V2L23I,V2L4I,4,0
V2L23I,V2L23I,5,-2
